Date,Inflation,Unemployment,GDP_Growth,Yield_Curve_10Y_2Y,Treasury_10Y,Treasury_2Y,VIX,Regime,Cluster
2015-03-31,-0.0220312844238734,5.4,3.6,1.4,2.04,0.64,17.76,Boom,2
2015-04-01,0.1795718097550525,5.3,2.5,1.67,2.36,0.69,15.32,Recession,2
2015-07-01,0.00884296163417,5.0,1.6,1.46,2.17,0.71,16.63,Tight Policy,2
2015-10-01,0.6387247515364791,5.0,0.7,1.2600000000000002,2.24,0.98,23.14,Stagflation,2
2016-01-01,0.8916160965521946,5.0,2.3,1.0099999999999998,1.89,0.88,22.48,Tight Policy,2
2016-04-01,1.0792865347959424,4.9,1.3,0.91,1.64,0.73,15.23,Moderate Growth,2
2016-07-01,1.5486446201652182,5.0,2.9,0.8599999999999999,1.63,0.77,15.59,Moderate Growth,2
2016-10-01,2.0507989115119862,4.7,2.2,1.2900000000000005,2.49,1.2,13.75,Boom,2
2017-01-01,2.44119623655914,4.4,2.0,1.17,2.48,1.31,14.07,Boom,2
2017-04-01,1.640565809959127,4.3,2.3,0.8499999999999999,2.19,1.34,12.59,Moderate Growth,2
2017-07-01,2.1805652303711787,4.3,3.2,0.8200000000000003,2.2,1.38,11.07,Boom,2
2017-10-01,2.129930719552253,4.1,4.6,0.5599999999999998,2.4,1.84,9.59,Boom,0
2018-01-01,2.3309497646499366,4.0,3.3,0.56,2.84,2.28,10.95,Boom,0
2018-04-01,2.8075506935940187,4.0,2.1,0.3800000000000003,2.91,2.53,21.07,Boom,0
2018-07-01,2.332055105808828,3.7,2.5,0.2299999999999999,3.0,2.77,17.7,Boom,0
2018-10-01,2.0023809043401064,3.9,0.6,0.1499999999999999,2.83,2.68,11.99,Moderate Growth,0
2019-01-01,1.8831863513063984,3.8,2.5,0.1599999999999997,2.57,2.41,27.54,Recession,0
2019-04-01,1.671194894390049,3.6,3.4,0.2599999999999998,2.07,1.81,13.9,Boom,0
2019-07-01,1.6844977040391562,3.5,4.8,0.05,1.7,1.65,13.85,Boom,0
2019-10-01,2.3195274699624457,3.6,2.8,0.25,1.86,1.61,16.02,Boom,0
2020-01-01,1.4940399642909163,4.4,-5.5,0.42,0.87,0.45,13.46,Boom,2
2020-04-01,0.7166562831830481,11.0,-28.1,0.54,0.73,0.19,57.38,Recession,2
2020-07-01,1.3910228912373812,7.8,35.2,0.55,0.68,0.13,30.96,Recession,1
2020-10-01,1.3204191315779434,6.7,4.4,0.79,0.93,0.14,25.78,Recession,1
2021-01-01,2.623645747764214,6.1,5.6,1.4600000000000002,1.61,0.15,23.04,Recession,1
2021-04-01,5.317418943207719,5.9,6.4,1.32,1.52,0.2,18.6,Boom,1
2021-07-01,5.363523425270289,4.7,3.5,1.13,1.37,0.24,15.62,Boom,1
2021-10-01,7.159457345112474,3.9,7.4,0.7899999999999999,1.47,0.68,24.78,Moderate Growth,1
2022-01-01,8.540780148538584,3.7,-1.0,0.2199999999999999,2.13,1.91,17.6,Stagflation,4
2022-04-01,8.999298141923106,3.6,0.3,0.1400000000000001,3.14,3.0,20.62,Stagflation,4
2022-07-01,8.205751582451759,3.5,2.7,-0.3399999999999998,3.52,3.86,29.53,Tight Policy,4
2022-10-01,6.410831677385809,3.5,3.4,-0.6699999999999999,3.62,4.29,33.0,Tight Policy,3
2023-01-01,4.931348641757127,3.5,2.8,-0.6399999999999997,3.66,4.3,23.09,Tight Policy,3
2023-04-01,3.0592533347792994,3.6,2.4,-0.8899999999999997,3.75,4.64,19.79,Tight Policy,3
2023-07-01,3.6950823322234414,3.8,4.4,-0.6399999999999997,4.38,5.02,13.85,Tight Policy,3
2023-10-01,3.322200208829762,3.8,3.2,-0.4400000000000004,4.02,4.46,17.31,Tight Policy,3
2024-01-01,3.4690014354717524,3.9,1.6,-0.3799999999999999,4.21,4.59,13.22,Tight Policy,3
2024-04-01,2.9700853998204435,4.1,3.0,-0.4300000000000006,4.31,4.74,13.49,Boom,3
